N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer
661,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC18B-GRI,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC18B,GRI
662,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC17B-GRI,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC17B,GRI
663,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC16B-CAF,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC16B,CAF
664,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC15B-CAF,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC15B,CAF
665,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC14B-CAF,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC14B,CAF
666,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC13B-CAF,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC13B,CAF
667,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC12B-CAF,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC12B,CAF
668,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC11B-CAF,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC11B,CAF
669,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC10B-VER,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC10B,VER
670,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC09B-VER,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC09B,VER
671,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC08B-VER,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC08B,VER
672,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC07B-VER,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC07B,VER
673,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC06B-VER,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC06B,VER
674,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC05B-VER,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC05B,VER
675,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC04B-NAR,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC04B,NAR
